Name,Average Runtime,End Date,Premiere Date,Genres,Type,Language,Network,Critic_Rating,Total Seasons,Total Episodes,Premier Date,User_Rating,vote_count,poster_path,tagline,Metacritic_Rating
White Collar,60.0,2009-10-23,2014-12-18,"['Drama', 'Comedy', 'Crime']",Scripted,English,USA Network,8.2,6,81,2014-12-18,8.3,1205.0,/417XNiGvdzCsG9kDnnQJYaBsIrx.jpg,"To solve the hardest crimes, hire the smartest criminal.",79.0
The Venture Bros.,30.0,2003-02-16,2023-07-21,"['Comedy', 'Adventure']",Animation,English,Adult Swim,8.2,7,81,2023-07-21,7.749,169.0,/ckQE1aLYQkRpp2HmHljiELAiOr1.jpg,Cockpits! Booby traps!,N/A
Homeland,60.0,2011-10-02,2020-04-26,"['Drama', 'Thriller', 'Espionage']",Scripted,English,Showtime,8.2,8,96,2020-04-26,7.544,1969.0,/6GAvS2e6VIRsms9FpVt33PsCoEW.jpg,The nation sees a hero. She sees a threat..,79.14
Castle,60.0,2009-03-09,2016-05-16,"['Drama', 'Crime']",Scripted,English,ABC,8.2,8,173,2016-05-16,8.012,1632.0,/diXBeMzvfJb2iJg3G0kCUaMCzEc.jpg,A whole new chapter in crime solving.,54.0
Leverage,60.0,2008-12-07,2012-12-25,"['Drama', 'Action', 'Crime']",Scripted,English,TNT,8.1,5,77,2012-12-25,7.559,313.0,/t5KJXooBqJLKUClpvYuSKNrcYGy.jpg,The art of the con,68.0
Brooklyn Nine-Nine,30.0,2013-09-17,2021-09-16,"['Comedy', 'Action', 'Crime']",Scripted,English,NBC,8.1,8,153,2021-09-16,8.236,2875.0,/hgRMSOt7a1b8qyQR68vUixJPang.jpg,The law. Without the order.,75.5
Bones,60.0,2005-09-13,2017-03-28,"['Drama', 'Crime', 'Medical']",Scripted,English,FOX,8.1,12,246,2017-03-28,8.264,2891.0,/eyTu5c8LniVciRZIOSHTvvkkgJa.jpg,Every body has secrets.,55.0
Bones,60.0,2005-09-13,2017-03-28,"['Drama', 'Crime', 'Medical']",Scripted,English,FOX,8.1,12,246,2017-03-28,8.5,2.0,/g007gi75guayxAgsNAjFhDUmogN.jpg,Everything has its breaking point.,55.0
Life,60.0,2007-09-26,2009-04-08,"['Drama', 'Crime']",Scripted,English,NBC,8.1,2,32,2009-04-08,8.3,308.0,/lk6lrS81gDVGMAErTwEL9308kq1.jpg,"Four years, 3000 filming days, ten part blockbuster.",N/A
The Blacklist,60.0,2013-09-23,2023-07-13,"['Drama', 'Crime', 'Thriller']",Scripted,English,NBC,8.1,10,218,2023-07-13,7.619,2834.0,/r935SMphvXppx5bJjbIBNx02fwc.jpg,Never trust a criminal... Until you have to.,74.0
